studyID	n_cells	n_genes	n_clusters	out_dir	expr_input_bytes	act_input_bytes	net_input_bytes	total_input_bytes	bundle_bytes	shard_bytes	graph_bytes	total_output_bytes	prepare_seconds	prepare_peak_mb	load_seconds	fetch_median	fetch_mean	fetch_max	n_fetched	net_tf_edges	net_sig_edges	status	note
2321	21922	14866	5	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2321	119930736	0	0	119930736	3381537	532957689	5218568	541557794	3594.14603161812	3549.8	0.256053447723389	0.196044206619263	0.21850757598877	0.44452691078186	25	0	0	ok	NA
2324	18644	9619	10	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2324	32308710	0	0	32308710	2483911	88368107	3182419	94034437	873.039993286133	1754.4	0.326356887817383	0.159138202667236	0.159319667816162	0.182051181793213	25	0	0	ok	NA
2325	13605	8846	7	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2325	22184725	377176333	239812180	639173238	330146563	632074955	218171908	1180393426	4089.68332529068	4878.1	4.30733442306519	0.111814498901367	0.119521207809448	0.183372497558594	25	666244	2696465	ok	NA
2326	4373	14712	4	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2326	19830801	147174764	212369585	379375150	309383772	320956579	193872448	824212799	5541.76747918129	3078.8	5.15696573257446	0.0684385299682617	0.0706142902374268	0.0984542369842529	25	1549003	1531394	ok	NA
2327	8464	9861	3	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2327	22866147	247191403	59987406	330044956	80878312	479872058	58736216	619486586	4389.69075798988	3241.2	1.43822383880615	0.0988736152648926	0.105698080062866	0.239058971405029	25	429516	314348	ok	NA
2331	15400	21481	7	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2331	55078141	125489272	48041793	228609206	76984681	177727432	54013709	308725822	15488.2696123123	9059.8	1.35904765129089	0.143115282058716	0.148299465179443	0.211834907531738	25	263440	424897	ok	NA
2332	10537	26040	13	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2332	47986835	152380870	0	200367705	4255342	175627678	10990234	190873254	30760.7742657661	7326.8	0.415336847305298	0.133797168731689	8.44255444526672	207.916729211807	25	0	0	ok	NA
2333	138268	18274	15	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2333	19228319797	6302228511	69380809	25599929117	110905244	3302120010	81335789	3494361043	8795.04457235336	49283.6	1.56492710113525	1.24920964241028	1.28029661178589	1.63415694236755	25	384817	528311	ok	NA
2338	96305	15778	29	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2338	409570710	3979338155	1006397830	5395306695	1429475743	7788510931	923645489	10141632163	58262.6635901928	49073.5	12.2660138607025	0.538567781448364	0.554935617446899	0.899924278259277	25	6557601	6973009	ok	NA
2339	50435	15718	10	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2339	217655161	2053488903	583705991	2854850055	851468920	4109311323	533955061	5494735304	30763.5842618942	26268.4	7.40612435340881	0.294646739959717	0.294877290725708	0.359499454498291	25	4173419	4068560	ok	NA
2341	104905	12982	12	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2341	255943301	4065647773	529968439	4851559513	779252809	6899320732	495578724	8174152265	59672.0794177055	46353.5	8.06717467308044	0.714956521987915	0.726984443664551	1.14944839477539	25	2900665	4723739	ok	NA
2342	56751	13772	13	/research_jude/rgs01_jude/groups/yu3grp/projects/software_JY/yu3grp/yulab_apps/scMINER/scMINER_Portal/scMINERViewerMetrics/2342	222908100	1991682733	564143733	2778734566	813203666	4464996964	519316215	5797516845	34587.2066476345	28853	10.2633340358734	0.377339839935303	0.41365912437439	1.17158126831055	25	3904489	4005173	ok	NA
