n_studies	n_reps	discover_seconds_mean	discover_seconds_sd	discover_seconds_se	n_found_mean	n_found_sd	n_found_se
1	5	0.0991922855377197	0.00366640432647613	0.00163966586139999	1	0	0
2	5	0.189822578430176	0.00212496143564606	0.000950311643934026	2	0	0
4	5	0.391234016418457	0.00302141018937949	0.00135121571427261	4	0	0
8	5	0.78706636428833	0.00447297620656093	0.00200037577192187	8	0	0
16	5	1.58170900344849	0.0108264311819794	0.00484172721532585	16	0	0
32	5	3.3180881023407	0.0911350715721543	0.0407568430339291	32	0	0
