n_cells	n_genes	bundle_bytes	shard_bytes	prepare_seconds	prepare_peak_mb	load_seconds	fetch_median	fetch_mean	fetch_max	n_fetched	replicate
2000	5000	6670339	10809519	81.8876979351044	350.5	0.118229866027832	0.0164000988006592	0.0172637462615967	0.0244491100311279	25	4
2000	5000	6670049	10807735	81.5272130966187	368.8	0.12099289894104	0.0155551433563232	0.0164701747894287	0.0277659893035889	25	5
4000	5000	6872228	21473207	96.6999580860138	366.7	0.121294975280762	0.0210769176483154	0.0219724178314209	0.0338988304138184	25	1
4000	5000	6872268	21473769	96.4497449398041	373.9	0.116913080215454	0.0202670097351074	0.0208837032318115	0.028101921081543	25	2
4000	5000	6872814	21472133	95.8880310058594	377.8	0.117221117019653	0.020211935043335	0.0208944511413574	0.0272929668426514	25	3
4000	5000	6872230	21472380	95.592885017395	375.5	0.126214027404785	0.0200200080871582	0.020751256942749	0.0290369987487793	25	4
4000	5000	6871870	21471607	96.5094521045685	373.1	0.122032880783081	0.0197639465332031	0.020460147857666	0.0266880989074707	25	5
6000	5000	7073807	32076531	108.701224088669	425.5	0.118737936019897	0.0252470970153809	0.028374547958374	0.0994248390197754	25	1
6000	5000	7073745	32076656	108.124408006668	424.8	0.123530864715576	0.0241219997406006	0.0250408172607422	0.0316910743713379	25	2
6000	5000	7074508	32076855	107.619287967682	425.5	0.122817993164062	0.0249180793762207	0.0256867980957031	0.033005952835083	25	3
6000	5000	7074272	32077867	107.677508115768	425.5	0.126128911972046	0.0245048999786377	0.0252200603485107	0.0314090251922607	25	4
6000	5000	7073417	32076430	107.452131986618	425.5	0.121524095535278	0.0250279903411865	0.0254051113128662	0.0306508541107178	25	5
8000	5000	7275077	42652863	123.114506959915	476	0.121798992156982	0.0296070575714111	0.0329773139953613	0.102977991104126	25	1
8000	5000	7275382	42652709	122.749503850937	475.9	0.120345830917358	0.0299248695373535	0.0301254653930664	0.0350339412689209	25	2
8000	5000	7274834	42651995	122.918721914291	476	0.128817081451416	0.0301849842071533	0.0312010860443115	0.0431671142578125	25	3
8000	5000	7275320	42653903	128.634231805801	476	0.147866010665894	0.0308640003204346	0.0316368770599365	0.0394430160522461	25	4
8000	5000	7274833	42653449	126.545598983765	475.5	0.120790004730225	0.0288112163543701	0.0302358055114746	0.0388221740722656	25	5
10000	5000	7477175	53200265	143.226691961288	473.5	0.126160860061646	0.0355150699615479	0.0350477695465088	0.0401690006256104	25	1
10000	5000	7476997	53204093	155.107496023178	473.6	0.125669002532959	0.0368540287017822	0.0378716278076172	0.0454668998718262	25	2
10000	5000	7477102	53203034	145.783293008804	474.9	0.127630949020386	0.0346660614013672	0.0378376293182373	0.110116004943848	25	3
10000	5000	7477144	53199731	142.311872959137	473.7	0.12317681312561	0.0357570648193359	0.0353270435333252	0.0413517951965332	25	4
10000	5000	7477238	53199318	152.534076929092	470.7	0.130362987518311	0.0350649356842041	0.0355506134033203	0.0426840782165527	25	5
500	8000	10358227	4412223	118.88028717041	462.5	0.161041021347046	0.0136349201202393	0.0147896957397461	0.0242640972137451	25	1
500	8000	10358685	4412083	121.656814098358	379.4	0.135026216506958	0.0130128860473633	0.0139447784423828	0.0199530124664307	25	2
500	8000	10358981	4411726	119.915394067764	381.3	0.136317014694214	0.0131750106811523	0.0139755535125732	0.0216109752655029	25	3
500	8000	10358727	4411705	120.235772848129	364.8	0.137624979019165	0.0134758949279785	0.0137399673461914	0.0197010040283203	25	4
500	8000	10359293	4412472	1026.56046700478	372.3	0.133013010025024	0.0128629207611084	0.0134679889678955	0.019428014755249	25	5
1000	8000	10410483	8690695	121.721941232681	379	0.133116006851196	0.0140841007232666	0.0148057842254639	0.0220839977264404	25	1
1000	8000	10409614	8692647	121.566822052002	344.2	0.137410163879395	0.0139379501342773	0.0150732135772705	0.0247299671173096	25	2
1000	8000	10409832	8691069	121.324402093887	372.8	0.136904001235962	0.0148959159851074	0.0184366321563721	0.0875370502471924	25	3
1000	8000	10410455	8690476	122.835547924042	373.5	0.134596824645996	0.0133430957794189	0.0141719818115234	0.0245537757873535	25	4
1000	8000	10409639	8690587	127.386358976364	387.2	0.141464233398438	0.0144228935241699	0.0156336879730225	0.0244259834289551	25	5
2000	8000	10492139	17280734	138.985226154327	365.6	0.135286092758179	0.0158991813659668	0.0167967700958252	0.0247609615325928	25	1
2000	8000	10492353	17279126	135.719894886017	385.9	0.140532970428467	0.015833854675293	0.0168388366699219	0.0244030952453613	25	2
2000	8000	10491957	17279039	138.071901082993	367.5	0.13782000541687	0.0162169933319092	0.016735897064209	0.0240540504455566	25	3
2000	8000	10492052	17279938	136.14022898674	374.5	0.137265920639038	0.0163619518280029	0.0167639541625977	0.0229220390319824	25	4
2000	8000	10492704	17279961	137.0847260952	373.6	0.140244007110596	0.0159862041473389	0.0175298881530762	0.0262339115142822	25	5
4000	8000	10714518	34325825	168.762866973877	360.6	0.14084005355835	0.0209009647369385	0.0214090824127197	0.0288200378417969	25	1
4000	8000	10715097	34325849	160.492834806442	450.7	0.141353845596313	0.0203850269317627	0.0211768817901611	0.0287549495697021	25	2
4000	8000	10714855	34327215	161.70081114769	446.2	0.143391132354736	0.0202541351318359	0.0211659526824951	0.0293359756469727	25	3
4000	8000	10714867	34325041	160.703446149826	436.2	0.139615058898926	0.0202269554138184	0.0211333656311035	0.0293450355529785	25	4
4000	8000	10714135	34326258	163.099361181259	450.7	0.139945983886719	0.0207469463348389	0.021298656463623	0.0279250144958496	25	5
6000	8000	10895555	51280827	188.929368019104	504.2	0.141544103622437	0.0251021385192871	0.0257983589172363	0.0341930389404297	25	1
6000	8000	10895652	51281664	188.639451980591	504.1	0.143844127655029	0.0244989395141602	0.0256988525390625	0.0322639942169189	25	2
6000	8000	10895764	51279150	189.855584859848	504.1	0.14161491394043	0.0248599052429199	0.0268793106079102	0.0611958503723145	25	3
6000	8000	10895625	51281593	189.777105093002	504.2	0.149091005325317	0.024940013885498	0.0255529117584228	0.0325150489807129	25	4
6000	8000	10895492	51282482	1171.89681100845	504	0.1374831199646	0.0247559547424316	0.0254504776000977	0.0323700904846191	25	5
8000	8000	11118269	68185805	216.857139110565	504.1	0.139204978942871	0.0296671390533447	0.0303576850891113	0.0373399257659912	25	1
8000	8000	11118374	68185181	216.777191162109	504	0.143550157546997	0.029224157333374	0.0303443431854248	0.0359058380126953	25	2
8000	8000	11118006	68187170	216.926059961319	504.3	0.142054080963135	0.0287489891052246	0.0299671077728271	0.0367720127105713	25	3
8000	8000	11118428	68186183	217.185795068741	503.8	0.146005153656006	0.0296919345855713	0.0304479598999023	0.036182165145874	25	4
8000	8000	11118019	68185131	219.53208398819	504.1	0.141360998153687	0.0304250717163086	0.0316152858734131	0.0443298816680908	25	5
10000	8000	11319407	85048035	1310.46500611305	505.1	0.142903804779053	0.035862922668457	0.0352553367614746	0.048893928527832	25	1
10000	8000	11319766	85049740	246.182515144348	505.1	0.14216685295105	0.0349969863891602	0.034780101776123	0.0420608520507812	25	2
10000	8000	11319318	85052608	246.73695898056	505.1	0.145846128463745	0.0359759330749512	0.0349849891662598	0.0424470901489258	25	3
10000	8000	11319685	85049893	247.102607965469	505.1	0.143203973770142	0.0351641178131104	0.035693826675415	0.054232120513916	25	4
10000	8000	11319533	85048317	247.119714021683	505.1	0.145492076873779	0.035275936126709	0.0348914909362793	0.045421838760376	25	5
500	10000	12888899	5513065	165.478672027588	539	0.180376052856445	0.0136787891387939	0.0147214412689209	0.022892951965332	25	1
500	10000	12889110	5513849	208.107616901398	359.4	0.201324939727783	0.0147769451141357	0.0159945774078369	0.0267930030822754	25	2
500	10000	12888604	5513875	162.508515834808	359.4	0.161448955535889	0.0146720409393311	0.0152933311462402	0.0226619243621826	25	3
500	10000	12888789	5514157	162.307366847992	359.4	0.153240919113159	0.0134711265563965	0.0147274875640869	0.0248129367828369	25	4
500	10000	12888753	5513667	170.729429006577	359.5	0.154643058776855	0.0132911205291748	0.0145287132263184	0.0245828628540039	25	5
1000	10000	12939363	10861772	172.056123018265	344.5	0.187846899032593	0.0138339996337891	0.0148805332183838	0.0233550071716309	25	1
1000	10000	12939163	10860914	171.238579034805	336.8	0.167073011398315	0.0143470764160156	0.0150020408630371	0.0239551067352295	25	2
1000	10000	12939892	10859282	173.799198150635	336.3	0.188714027404785	0.0138230323791504	0.0149998569488525	0.0249700546264648	25	3
1000	10000	12940021	10861213	172.291064977646	368	0.198406934738159	0.0152449607849121	0.0165608596801758	0.0252430438995361	25	4
1000	10000	12940538	10860783	177.07367014885	337.2	0.166291952133179	0.0156750679016113	0.0163325977325439	0.0252940654754639	25	5
2000	10000	13034015	21592223	193.048655986786	362.9	0.153331995010376	0.0164799690246582	0.0175313758850098	0.0253739356994629	25	1
2000	10000	13034376	21592628	194.094425201416	363.1	0.153176069259644	0.0165469646453857	0.0170176982879639	0.0238630771636963	25	2
2000	10000	13034113	21592753	193.987226963043	354.5	0.162780046463013	0.0161690711975098	0.0172198486328125	0.0252468585968018	25	3
2000	10000	13034609	21593172	194.326462984085	354.7	0.152889966964722	0.0163459777832031	0.0172601699829102	0.0240070819854736	25	4
2000	10000	13034627	21592938	1082.66639184952	346.1	0.151215076446533	0.0158278942108154	0.0167678737640381	0.0228679180145264	25	5
4000	10000	13236372	42894557	210.748798847198	406.8	0.152132034301758	0.0200002193450928	0.0236993026733398	0.097200870513916	25	1
4000	10000	13236068	42892821	206.366211891174	492.1	0.159844160079956	0.020258903503418	0.0211368942260742	0.0294919013977051	25	2
4000	10000	13236227	42894937	205.275547027588	492.1	0.154748916625977	0.0200231075286865	0.0213063812255859	0.0294420719146729	25	3
4000	10000	13236376	42898291	206.034003973007	492.1	0.152535915374756	0.0205059051513672	0.0228659057617187	0.0638830661773682	25	4
4000	10000	13236503	42897868	231.225327968597	492.1	0.171236038208008	0.0239591598510742	0.0249015140533447	0.031156063079834	25	5
6000	10000	13446911	64083857	269.461854934692	518.4	0.19255805015564	0.0257470607757568	0.0306686782836914	0.130441904067993	25	1
6000	10000	13447155	64081916	270.363916158676	520.2	0.161048173904419	0.0251750946044922	0.0266027641296387	0.0336549282073975	25	2
6000	10000	13446586	64080381	276.174841880798	520.2	0.157581090927124	0.0249309539794922	0.0261990451812744	0.0327398777008057	25	3
6000	10000	13446915	64082258	257.517325162888	520.2	0.160175800323486	0.0249531269073486	0.026716136932373	0.0384080410003662	25	4
6000	10000	13446548	64083941	250.160295963287	520.2	0.152469873428345	0.024907112121582	0.0259997367858887	0.0321369171142578	25	5
8000	10000	13643526	85207119	291.861893177032	525	0.159784078598022	0.0327200889587402	0.0326126575469971	0.0466890335083008	25	1
8000	10000	13644140	85204596	292.591275930405	525	0.166460037231445	0.0316488742828369	0.0318992042541504	0.0380969047546387	25	2
8000	10000	13643480	85204458	294.11621594429	524.5	0.160797119140625	0.0290610790252686	0.0309767246246338	0.037747859954834	25	3
8000	10000	13644031	85206616	300.361997127533	524.3	0.162667036056519	0.0323770046234131	0.0319974899291992	0.05069899559021	25	4
8000	10000	13642693	85207609	293.052435874939	524.7	0.162302017211914	0.0292987823486328	0.0308665466308594	0.0378050804138184	25	5
10000	10000	13849062	106286844	334.593271970749	530.2	0.15818190574646	0.0362589359283447	0.0350143909454346	0.0404770374298096	25	1
10000	10000	13848990	106283634	332.321508169174	530.4	0.160796165466309	0.0362019538879395	0.0358237648010254	0.0440750122070312	25	2
10000	10000	13849322	106283506	341.414294958115	530.8	0.160592079162598	0.0356450080871582	0.0358576202392578	0.0466208457946777	25	3
10000	10000	13849405	106282089	339.28070807457	530.5	0.154853105545044	0.0368978977203369	0.0367997550964355	0.0469381809234619	25	4
10000	10000	13849525	106281826	340.248473882675	530.5	0.167627811431885	0.0378048419952393	0.0409047031402588	0.115967035293579	25	5
